PotenciaA1iz,PotenciaA2iz,PotenciaA3iz,PotenciaC1iz,PotenciaC2iz,PotenciaC3iz,PotenciaB1iz,PotenciaB2iz,PotenciaB3iz,PotenciaA1de,PotenciaA2de,PotenciaA3de,PotenciaC1de,PotenciaC2de,PotenciaC3de,PotenciaB1de,PotenciaB2de,PotenciaB3de
241.242614546742,646.522746963748,1081.7717406511,354.825284331661,362.77146219092,336.482097083518,51.5874618873561,538.47357086187,430.605205449525,261.681186224104,789.339259779789,1245.60969913103,360.329485259081,335.238702572035,405.147634111214,348.232092726042,177.691392021378,941.59385294911
259.65406801078,697.18245101982,1165.28573701988,377.332214508056,386.201201660097,357.695915155927,55.3276861858813,580.797898331246,461.434979880787,281.661265029525,850.806947170933,1344.37676538458,383.224313802315,356.495007786886,430.451762072621,373.073249253822,194.526642154244,1008.95799005549
278.044087048373,748.048515326011,1248.88678776721,398.775689550559,408.631120635995,377.875774518345,59.0188146544263,623.332099282637,491.813629673278,301.620199147634,912.451783933701,1443.8018981146,405.049239166339,376.736991225465,454.500502295528,397.495018125084,212.030434613945,1075.24975374562
296.411987164519,799.128822468611,1332.5716197494,419.077027299774,429.98466435261,396.945812865316,62.6570350740504,666.090315847755,521.723501602613,321.557551539962,974.278991989129,1543.92266762036,425.724288417969,395.885361573883,477.223531823185,421.466563636918,230.236087120066,1140.42185714923
314.75916760525,850.426963521317,1416.34476861494,438.154385315461,450.182007503256,414.827896677757,66.2384593403315,709.083991845005,551.151357851422,341.473218554391,1036.29828104767,1644.76712742077,445.16765243823,413.860802856078,498.53113540565,444.960794353965,249.175792300961,1204.39172334877
333.082036955952,901.949230176923,1500.20262982027,455.926383146964,469.143805437803,431.443546921619,69.7588968433706,752.327505205042,580.084557746821,361.363666801581,1098.51307322264,1746.37055983464,463.298654389904,430.582320915734,518.356724452875,467.946381418829,268.878573542975,1267.10749422835
351.382591430585,953.697543527089,1584.14303732222,472.311939312755,486.789669524508,446.713579471664,73.2140209613314,795.832341344892,608.513941983787,381.233025054566,1160.92823806629,1848.76075460325,480.034246290903,445.967061248035,536.616958844357,490.397377362032,289.371295903223,1328.51017713043
369.66154480862,1005.67728568009,1668.16396379779,487.226885901848,503.037450910013,460.558150768766,76.5988652725581,839.611056385468,636.436569808461,401.080394304664,1223.54491126312,1951.96171875906,495.291601234827,459.93293163793,553.233765888746,512.283183595191,310.67874000547,1388.53067856676
387.915666560552,1057.88714492933,1752.26162604053,500.589137548491,517.803073629532,472.896241963386,79.9095154041037,883.67640643945,663.847593445832,420.905018275574,1286.36607388775,2055.99883173675,508.987766770483,472.395639311885,568.138706264138,533.576244836432,332.823687523707,1447.12576784474
406.150678973491,1110.32490760258,1836.43027554694,512.312748405764,531.001149537474,483.644992022915,83.1372475426364,928.038788096427,690.752487761052,440.706343042612,1349.38861083566,2160.89410810656,521.035811107951,483.268430717367,581.249903994452,554.24652676905,355.825565890211,1504.22987035075
424.364050155564,1162.99752820852,1920.67147282187,522.321169775279,542.555361623243,492.73042021495,86.2880833030542,972.723698756778,717.142098065707,460.488884816891,1412.61819765308,2266.67474923329,531.360873049664,492.474637109079,592.502489951421,574.278730709626,379.692694137338,1559.80579016216
442.555590592113,1215.86689454163,2004.94902634661,530.495719854884,552.344228751403,500.03477554215,89.3103637420137,1017.7043530761,743.072273931596,480.24825865171,1476.01898759065,2373.32615550812,539.842670555962,499.894219975728,601.784299348107,593.601180441335,404.4850620306,1613.7473537366
460.746185874502,1269.04078871671,2089.39417952453,536.884522620112,560.412428883947,505.608694178717,92.3697657270638,1063.15110506664,768.37180071731,500.008260428711,1539.71717658483,2481.01338791103,546.529760009902,505.571883128193,609.163749486964,612.369483225488,430.041081292572,1666.26404832882
478.803906891578,1322.10349414576,2173.38117216437,540.880514664161,566.160016154901,508.847828341135,94.8024406642298,1108.47955476283,793.766074041184,519.626884561153,1603.20329463298,2589.06536596784,550.81405690815,508.910922275152,614.005940669129,629.837413514468,457.056790308821,1716.29946036202
