Time(s) Force(Spherical:5)-ArfadaCaso1.iaa(N) Force[X](Spherical:5)-ArfadaCaso1.iaa(N) Force[Y](Spherical:5)-ArfadaCaso1.iaa(N) Force[Z](Spherical:5)-ArfadaCaso1.iaa(N) Moment(Spherical:5)-ArfadaCaso1.iaa(N.mm) Moment[X](Spherical:5)-ArfadaCaso1.iaa(N.mm) Moment[Y](Spherical:5)-ArfadaCaso1.iaa(N.mm) Moment[Z](Spherical:5)-ArfadaCaso1.iaa(N.mm) 
0.33735 560.08500 -65.85882 0.87231 -556.19847 0.00000 0.00000 0.00000 0.00000 
0.34136 511.98600 -59.85524 0.79739 -508.47410 0.00000 0.00000 -0.00000 0.00000 
0.34538 465.52400 -53.96517 0.72502 -462.38504 0.00000 0.00000 0.00000 0.00000 
0.34940 412.78800 -47.29950 0.64288 -410.06832 0.00000 0.00000 0.00000 0.00000 
0.35341 391.95100 -44.21342 0.61043 -389.44845 0.00000 0.00000 0.00000 0.00000 
0.35743 396.34200 -43.81608 0.61728 -393.91165 0.00000 0.00000 -0.00000 0.00000 
0.36144 394.92800 -42.59707 0.61508 -392.62386 0.00000 0.00000 0.00000 -0.00000 
0.36546 395.08400 -41.37478 0.61533 -392.91076 0.00000 0.00000 0.00000 0.00000 
0.36948 394.76900 -39.92952 0.61485 -392.74422 0.00000 0.00000 0.00000 -0.00000 
0.37349 394.55100 -38.32221 0.61452 -392.68508 0.00000 0.00000 -0.00000 0.00000 
0.37751 394.27100 -36.53822 0.61410 -392.57429 0.00000 0.00000 0.00000 -0.00000 
0.38152 393.97500 -34.58347 0.61364 -392.45331 0.00000 0.00000 -0.00000 0.00000 
0.38554 393.64800 -32.45857 0.61314 -392.30725 0.00000 0.00000 0.00000 -0.00000 
0.38956 393.29600 -30.16574 0.61260 -392.13680 0.00000 0.00000 0.00000 -0.00000 
0.39357 392.91700 -27.70696 0.61202 -391.93803 0.00000 0.00000 -0.00000 0.00000 
0.39759 392.51100 -25.08446 0.61140 -391.70809 0.00000 0.00000 -0.00000 0.00000 
0.40160 392.07900 -22.30059 0.61074 -391.44363 0.00000 0.00000 -0.00000 0.00000 
0.40562 391.62000 -19.35787 0.61004 -391.14122 0.00000 -0.00000 -0.00000 0.00000 
0.40964 391.13600 -16.25894 0.60929 -390.79734 0.00000 -0.00000 -0.00000 0.00000 
0.41365 390.62500 -13.00659 0.60851 -390.40808 0.00000 0.00000 0.00000 -0.00000 
0.41767 390.08900 -9.60375 0.60768 -389.97039 0.00000 -0.00000 0.00000 -0.00000 
0.42168 389.52500 -6.05344 0.60681 -389.47733 0.00000 0.00000 0.00000 -0.00000 
0.42570 388.94400 -2.35898 0.60592 -388.93642 0.00001 0.00000 -0.00001 0.00000 
0.42972 388.30200 1.47638 0.60493 -388.29916 0.00001 0.00000 -0.00001 -0.00000 
0.43373 387.76800 5.45051 0.60411 -387.72895 0.00000 -0.00000 -0.00000 -0.00000 
0.43775 386.71300 9.54842 0.60248 -386.59455 0.00001 -0.00000 0.00000 0.00001 
0.44177 387.45600 13.83319 0.60364 -387.20802 0.00000 0.00000 -0.00000 -0.00000 
0.44578 381.54300 17.96412 0.59444 -381.11927 0.00000 0.00000 -0.00000 -0.00000 
0.44980 414.90567 24.40725 0.64643 -414.18665 0.00000 0.00000 0.00000 0.00000 
0.45381 464.48400 32.92463 0.72369 -463.31524 0.00000 0.00000 0.00000 0.00000 
0.45783 510.27600 42.45483 0.79505 -508.50661 0.00000 0.00000 0.00000 0.00000 
0.46185 557.11000 53.32462 0.86803 -554.55153 0.00000 0.00000 0.00000 0.00000 
0.46586 603.80300 65.44015 0.94079 -600.24607 0.00000 0.00000 -0.00000 -0.00000 
0.46988 650.67800 78.82035 1.01384 -645.88604 0.00000 0.00000 -0.00000 -0.00000 
