Time(s) Force[Z](Spherical:9)-CabeceoCaso3.iaa(N) Force[Y](Spherical:9)-CabeceoCaso3.iaa(N) Force[X](Spherical:9)-CabeceoCaso3.iaa(N) Force(Spherical:9)-CabeceoCaso3.iaa(N) Moment[Z](Spherical:9)-CabeceoCaso3.iaa(N.mm) Moment[Y](Spherical:9)-CabeceoCaso3.iaa(N.mm) Moment[X](Spherical:9)-CabeceoCaso3.iaa(N.mm) Moment(Spherical:9)-CabeceoCaso3.iaa(N.mm) 
1.48612 3577.29321 -18.74150 74.15290 3578.11000 0.00000 0.00000 0.00000 0.00000 
1.50144 3493.63638 -18.29508 60.64233 3494.21000 -0.00000 0.00000 0.00000 0.00000 
1.51676 3404.55936 -17.81991 46.75758 3404.93000 -0.00000 0.00000 0.00000 0.00000 
1.53208 3310.16475 -17.31691 32.61699 3310.37000 -0.00000 0.00000 0.00000 0.00000 
1.54740 3210.55860 -16.78696 18.34591 3210.65000 -0.00000 0.00000 0.00000 0.00000 
1.56272 3105.84993 -16.23094 4.07661 3105.90000 -0.00000 -0.00000 0.00000 0.00000 
1.57804 2996.15180 -15.64970 -10.05183 2996.21000 -0.00000 0.00000 0.00000 0.00000 
1.59336 2881.57459 -15.04404 -23.89354 2881.71000 -0.00000 0.00000 0.00000 0.00000 
1.60868 2762.24883 -14.41483 -37.29617 2762.54000 -0.00000 -0.00000 0.00000 0.00000 
1.62400 2638.23841 -13.76258 -50.09978 2638.75000 -0.00000 -0.00000 0.00000 0.00000 
1.63932 2509.86099 -13.08906 -62.14288 2510.66000 -0.00000 -0.00000 0.00000 0.00000 
1.65464 2376.49647 -12.39118 -73.23338 2377.66000 -0.00000 -0.00000 0.00000 0.00000 
1.66997 2241.01188 -11.68384 -83.28335 2242.59000 -0.00000 -0.00000 0.00000 0.00000 
1.68529 2093.32335 -10.91500 -91.70451 2095.36000 -0.00000 0.00000 0.00000 0.00000 
1.70061 1971.46515 -10.28104 -100.05846 1974.03000 -0.00000 -0.00000 0.00000 0.00000 
1.71593 1657.55863 -8.65794 -96.17286 1660.37000 -0.00000 0.00000 0.00000 0.00000 
1.73125 1265.65206 -6.63502 -83.02767 1268.39000 -0.00000 0.00000 0.00000 0.00000 
1.74657 890.35003 -4.70007 -65.42186 892.76300 -0.00000 0.00000 0.00000 0.00000 
1.76189 508.75951 -2.73470 -41.57337 510.46300 -0.00000 0.00000 0.00000 0.00000 
1.77721 127.64390 -0.77340 -11.66312 128.17800 -0.00000 0.00000 0.00000 0.00000 
1.79253 -254.20680 1.19054 24.64422 255.40100 -0.00000 0.00000 0.00000 0.00000 
1.80785 -635.92762 3.15314 67.45855 639.50300 -0.00000 0.00000 0.00000 0.00000 
1.82317 -1017.25586 5.11360 116.88231 1023.96000 -0.00000 0.00000 0.00000 0.00000 
1.83849 -1397.80469 7.07046 172.94399 1408.48000 -0.00000 0.00000 0.00000 0.00000 
1.85381 -1777.26670 9.02272 235.61755 1792.84000 -0.00000 0.00000 0.00000 0.00000 
1.86914 -2155.28718 10.96913 304.80591 2176.76000 -0.00000 0.00000 0.00000 0.00000 
1.88446 -2531.72676 12.90954 380.37637 2560.17000 -0.00000 0.00000 -0.00000 0.00000 
1.89978 -2905.69273 14.83992 462.01420 2942.23000 -0.00000 0.00000 -0.00000 0.00000 
1.91510 -3279.10093 16.77062 549.78572 3324.91000 -0.00000 0.00000 -0.00000 0.00000 
1.93042 -3643.33861 18.65773 641.90686 3699.50000 -0.00000 0.00000 -0.00000 0.00000 
1.94574 -4029.02052 20.65907 743.48246 4097.10000 -0.00000 0.00000 -0.00000 0.00000 
1.96106 -4205.94212 21.58996 810.31565 4283.34000 -0.00000 0.00000 -0.00000 0.00000 
1.97638 -4332.41929 22.26467 868.89042 4418.75000 -0.00000 0.00000 -0.00000 0.00000 
1.99170 -4466.35107 22.98038 929.95428 4562.20000 -0.00000 0.00000 -0.00000 0.00000 
2.00702 -4592.68925 23.65832 990.31045 4698.30000 -0.00000 0.00000 -0.00000 0.00000 
2.02234 -4715.46777 24.31725 1050.56900 4831.14000 -0.00000 0.00000 -0.00000 0.00000 
2.03766 -4833.58454 24.94892 1110.28091 4959.52000 -0.00000 0.00000 -0.00000 0.00000 
2.05299 -4947.30147 25.55165 1169.29409 5083.67000 -0.00000 0.00000 -0.00000 0.00000 
2.06831 -5056.49928 26.12179 1227.37680 5203.40000 -0.00000 0.00000 -0.00000 0.00000 
2.08363 -5161.14631 26.65662 1284.32245 5318.61000 -0.00000 -0.00000 -0.00000 0.00000 
2.09895 -5261.17338 27.15436 1339.92076 5429.19000 -0.00000 -0.00000 -0.00000 0.00000 
2.11427 -5356.50898 27.61493 1393.96589 5534.99000 -0.00000 -0.00000 0.00000 0.00000 
2.12959 -5447.07222 28.04012 1446.25414 5635.87000 -0.00003 0.00004 -0.00004 0.00006 
2.14491 -5532.77688 28.43346 1496.58519 5731.68000 -0.00145 0.00022 -0.00206 0.00253 
2.16023 -5613.54481 28.79864 1544.75573 5822.28000 0.02349 0.03000 0.03282 0.05029 
2.17555 -5689.26707 29.14088 1590.58368 5907.50000 -0.00007 0.00240 -0.00020 0.00241 
2.19087 -5759.86246 29.46576 1633.87525 5987.19000 -0.00000 -0.00000 0.00000 0.00000 
2.20619 -5825.24401 29.77592 1674.44854 6061.20000 -0.00000 0.00000 -0.00000 0.00000 
2.22151 -5885.32971 30.07203 1712.13131 6129.39000 -0.00000 -0.00000 -0.00000 0.00000 
2.23683 -5940.02020 30.35279 1746.75600 6191.60000 -0.00000 -0.00000 -0.00000 0.00000 
2.25216 -5989.28777 30.61582 1778.18728 6247.76000 -0.00000 -0.00000 -0.00000 0.00000 
2.26748 -6032.84502 30.85667 1806.22473 6297.51000 -0.00000 -0.00000 -0.00000 0.00000 
2.28280 -6071.38785 31.07581 1830.97534 6341.54000 -0.00000 -0.00000 -0.00000 0.00000 
2.29812 -6101.95602 31.25540 1851.45580 6376.73000 -0.00000 -0.00000 -0.00000 0.00000 
2.31344 -6135.27807 31.44839 1870.85177 6414.26000 -0.00000 -0.00000 -0.00000 0.00000 
2.32876 -5932.08769 30.42794 1815.92233 6203.88000 -0.00000 -0.00000 -0.00000 0.00000 
2.34408 -5713.32350 29.32509 1754.04075 5976.59000 -0.00000 -0.00000 -0.00000 0.00000 
2.35940 -5492.63182 28.20934 1689.78486 5746.75000 -0.00000 -0.00000 -0.00000 0.00000 
2.37472 -5267.45118 27.06759 1622.75016 5511.81000 -0.00000 -0.00000 -0.00000 0.00000 
2.39004 -5039.52254 25.90896 1553.82265 5273.69000 -0.00000 -0.00000 -0.00000 0.00000 
2.40536 -4809.39133 24.73660 1483.48736 5033.05000 -0.00000 -0.00000 -0.00000 0.00000 
2.42068 -4577.87753 23.55510 1412.27776 4790.83000 0.00000 -0.00000 -0.00000 0.00000 
2.43600 -4345.67882 22.36841 1340.65167 4547.83000 0.00000 -0.00000 -0.00000 0.00000 
