Hora(s) Fuerza[X](Revolución:2)-BalanceoCaso3.iaa(N) Fuerza[Y](Revolución:2)-BalanceoCaso3.iaa(N) Fuerza[X](Revolución:3)-BalanceoCaso3.iaa(N) Fuerza[Y](Revolución:3)-BalanceoCaso3.iaa(N) 
1.30157 -5831.71996 -1617.22617 2693.42557 -544.48843 
1.31067 -5851.27812 -1651.45608 2702.73120 -561.04127 
1.31978 -5869.12788 -1682.92970 2711.29930 -576.31450 
1.32888 -5885.25817 -1711.58692 2719.11670 -590.26893 
1.33798 -5899.71894 -1737.39013 2726.14156 -602.86152 
1.34708 -5912.33239 -1760.23918 2732.44732 -614.07747 
1.35618 -5923.77369 -1780.29318 2737.68934 -623.81086 
1.36529 -5931.53027 -1796.75746 2743.08250 -632.31465 
1.37439 -5945.00168 -1812.45383 2744.06169 -638.51214 
1.38349 -5756.37428 -1763.75614 2840.56163 -665.80620 
1.39259 -5557.01738 -1709.06944 2939.90845 -692.85869 
1.40169 -5358.49262 -1652.43618 3037.14272 -718.56237 
1.41079 -5158.20678 -1593.52922 3134.03418 -743.41290 
1.41990 -4957.28880 -1533.12597 3230.47010 -767.48966 
1.42900 -4755.80346 -1471.63467 3326.75168 -790.99499 
1.43810 -4554.03479 -1409.48876 3422.97940 -814.10791 
1.44720 -4352.14210 -1347.03985 3519.21717 -837.02244 
