Time(s) Force[X](Prismatic:19)(N) Force[Y](Prismatic:19)(N) Force[Z](Prismatic:19)(N) Force(Prismatic:19)(N) Moment[Z](Prismatic:19)(N.mm) Moment[Y](Prismatic:19)(N.mm) Moment[X](Prismatic:19)(N.mm) Moment(Prismatic:19)(N.mm) 
0.47241 9800.00000 -0.69559 -1153.83000 7028.09000 272794.95960 -1434730.00000 31974.50000 1448000.00000 
0.47797 9800.00000 -0.69559 -1153.62000 7028.06000 272794.95960 -1431770.00000 31968.90000 1445070.00000 
0.48353 9800.00000 -0.69559 -1154.41000 7028.18000 272794.95960 -1428200.00000 31991.10000 1441540.00000 
0.48909 9800.00000 -0.69559 -1151.49000 7027.71000 272794.95960 -1428560.00000 31909.80000 1441890.00000 
0.49464 9800.00000 -0.69559 -1162.37000 7029.50000 272794.95960 -1415940.00000 32214.10000 1429390.00000 
0.50020 9800.00000 -0.69559 -1111.17000 7021.21000 272794.95960 -1463650.00000 30784.00000 1476630.00000 
0.50576 9800.00000 -0.69559 -982.82400 7002.05000 272794.95960 -1586210.00000 27199.00000 1598140.00000 
0.51132 9800.00000 -0.69559 -869.97500 6987.10000 272794.95960 -1694110.00000 24046.90000 1705230.00000 
0.51688 9800.00000 -0.69559 -752.96300 6973.50000 272794.95960 -1806290.00000 20778.40000 1816690.00000 
0.52243 9800.00000 -0.69559 -637.10400 6961.94000 272794.95960 -1917580.00000 17542.20000 1927350.00000 
0.52799 9800.00000 -0.69559 -520.79400 6952.26000 272794.95960 -2029510.00000 14293.30000 2038710.00000 
0.53355 9800.00000 -0.69559 -405.13400 6944.55000 272794.95960 -2140960.00000 11062.60000 2149670.00000 
0.53911 9800.00000 -0.69559 -287.32800 6938.68000 272794.95960 -2254620.00000 7771.92000 2262870.00000 
0.54466 9800.00000 -0.69559 -177.45600 6935.00000 272794.95960 -2360690.00000 4702.86000 2368570.00000 
0.55022 9800.00000 -0.69559 -37.99300 6932.83000 272794.95960 -2495410.00000 807.20900 2502860.00000 
0.55578 9800.00000 -0.69559 -37.99300 6932.83000 272794.95960 -2495410.00000 807.20900 2502860.00000 
0.56134 9800.00000 -0.69559 -177.45600 6935.00000 272794.95960 -2360690.00000 4702.86000 2368570.00000 
0.56690 9800.00000 -0.69559 -287.32800 6938.68000 272794.95960 -2254620.00000 7771.92000 2262870.00000 
0.57245 9800.00000 -0.69559 -405.13400 6944.55000 272794.95960 -2140960.00000 11062.60000 2149670.00000 
0.57801 9800.00000 -0.69559 -520.79400 6952.26000 272794.95960 -2029510.00000 14293.30000 2038710.00000 
0.58357 9800.00000 -0.69559 -637.10400 6961.94000 272794.95960 -1917580.00000 17542.20000 1927350.00000 
0.58913 9800.00000 -0.69559 -752.96300 6973.50000 272794.95960 -1806290.00000 20778.40000 1816690.00000 
0.59469 9800.00000 -0.69559 -869.97500 6987.10000 272794.95960 -1694110.00000 24046.90000 1705230.00000 
0.60024 9800.00000 -0.69559 -982.82400 7002.05000 272794.95960 -1586210.00000 27199.00000 1598140.00000 
0.60580 9800.00000 -0.69559 -1111.17000 7021.21000 272794.95960 -1463650.00000 30784.00000 1476630.00000 
0.61136 9800.00000 -0.69559 -1162.37000 7029.50000 272794.95960 -1415940.00000 32214.10000 1429390.00000 
0.61692 9800.00000 -0.69559 -1151.49000 7027.71000 272794.95960 -1428560.00000 31909.80000 1441890.00000 
0.62247 9800.00000 -0.69559 -1154.41000 7028.18000 272794.95960 -1428200.00000 31991.10000 1441540.00000 
0.62803 9800.00000 -0.69559 -1153.62000 7028.06000 272794.95960 -1431770.00000 31968.90000 1445070.00000 
0.63359 9800.00000 -0.69559 -1153.83000 7028.09000 272794.95960 -1434730.00000 31974.50000 1448000.00000 
0.63915 9800.00000 -0.69559 -1153.78000 7028.08000 272794.95960 -1438290.00000 31972.60000 1451530.00000 
0.64470 9800.00000 -0.69559 -1153.79000 7028.08000 272794.95960 -1442140.00000 31972.60000 1455340.00000 
0.65026 9800.00000 -0.69559 -1153.79000 7028.08000 272794.95960 -1446350.00000 31972.10000 1459520.00000 
0.65582 9800.00000 -0.69559 -1153.79000 7028.08000 272794.95960 -1450910.00000 31971.60000 1464040.00000 
0.66138 9800.00000 -0.69559 -1153.79000 7028.08000 272794.95960 -1455820.00000 31971.10000 1468900.00000 
0.66694 9800.00000 -0.69559 -1153.79000 7028.08000 272794.95960 -1461080.00000 31970.60000 1474120.00000 
0.67249 9800.00000 -0.69559 -1153.79000 7028.08000 272794.95960 -1466690.00000 31970.00000 1479680.00000 
0.67805 9800.00000 -0.69559 -1153.79000 7028.08000 272794.95960 -1472650.00000 31969.40000 1485590.00000 
0.68361 9800.00000 -0.69559 -1153.79000 7028.08000 272794.95960 -1478960.00000 31968.80000 1491840.00000 
0.68917 9800.00000 -0.69559 -1153.79000 7028.08000 272794.95960 -1485630.00000 31968.10000 1498450.00000 
0.69473 9800.00000 -0.69559 -1153.79000 7028.08000 272794.95960 -1492640.00000 31967.40000 1505400.00000 
0.70028 9800.00000 -0.69559 -1153.79000 7028.08000 272794.95960 -1500000.00000 31966.70000 1512700.00000 
0.70584 9800.00000 -0.69559 -1153.79000 7028.08000 272794.95960 -1507710.00000 31965.90000 1520350.00000 
0.71140 9800.00000 -0.69559 -1153.79000 7028.08000 272794.95960 -1515770.00000 31965.10000 1528340.00000 
0.71696 9800.00000 -0.69559 -1153.79000 7028.08000 272794.95960 -1524180.00000 31964.30000 1536680.00000 
0.72251 9800.00000 -0.69559 -1153.79000 7028.08000 272794.95960 -1532950.00000 31963.40000 1545380.00000 
0.72807 9800.00000 -0.69559 -1153.79000 7028.08000 272794.95960 -1542060.00000 31962.50000 1554410.00000 
0.73363 9800.00000 -0.69559 -1153.79000 7028.08000 272794.95960 -1551520.00000 31961.50000 1563800.00000 
0.73919 9800.00000 -0.69559 -1153.79000 7028.08000 272794.95960 -1561330.00000 31960.60000 1573530.00000 
0.74474 9800.00000 -0.69559 -1153.78000 7028.08000 272794.95960 -1571510.00000 31959.20000 1583630.00000 
0.75030 9800.00000 -0.69559 -1153.84000 7028.09000 272794.95960 -1581960.00000 31959.80000 1594010.00000 
0.75586 9800.00000 -0.69559 -1153.61000 7028.05000 272794.95960 -1593050.00000 31952.30000 1605010.00000 
0.76142 9800.00000 -0.69559 -1154.47000 7028.19000 272794.95960 -1603420.00000 31975.30000 1615310.00000 
0.76698 9800.00000 -0.69559 -1151.24000 7027.66000 272794.95960 -1618110.00000 31883.90000 1629890.00000 
0.77253 9800.00000 -0.69559 -1163.31000 7029.65000 272794.95960 -1618370.00000 32219.70000 1630150.00000 
0.77809 9800.00000 -0.69559 -1078.45000 7016.11000 272794.95960 -1712610.00000 29848.10000 1723710.00000 
0.78365 9800.00000 -0.69559 -954.78300 6998.17000 272794.95960 -1844670.00000 26392.50000 1854920.00000 
0.78921 9800.00000 -0.69559 -840.67600 6983.51000 272794.95960 -1967780.00000 23203.80000 1977360.00000 
0.79477 9800.00000 -0.69559 -724.00900 6970.43000 272794.95960 -2093620.00000 19943.60000 2102590.00000 
0.80032 9800.00000 -0.69559 -608.02800 6959.34000 272794.95960 -2219020.00000 16702.60000 2227460.00000 
0.80588 9800.00000 -0.69559 -491.86300 6950.15000 272794.95960 -2344790.00000 13456.40000 2352750.00000 
0.81144 9800.00000 -0.69559 -375.74700 6942.90000 272794.95960 -2470650.00000 10211.50000 2478200.00000 
0.81700 9800.00000 -0.69559 -259.61800 6937.59000 272794.95960 -2596640.00000 6966.27000 2603810.00000 
0.82256 9800.00000 -0.69559 -143.49300 6934.21000 272794.95960 -2722710.00000 3721.13000 2729540.00000 
0.82811 9800.00000 -0.69559 -27.36670 6932.78000 272794.95960 -2848820.00000 475.95300 2855350.00000 
0.83367 9800.00000 -0.69559 88.75930 6933.30000 272794.95960 -2974940.00000 -2769.21000 2981200.00000 
0.83923 9800.00000 -0.69559 204.88600 6935.75000 272794.95960 -3101040.00000 -6014.39000 3107040.00000 
0.84479 9800.00000 -0.69559 321.01100 6940.16000 272794.95960 -3227070.00000 -9259.52000 3232850.00000 
0.85034 9800.00000 -0.69559 437.14100 6946.50000 272794.95960 -3353010.00000 -12504.80000 3358580.00000 
0.85590 9800.00000 -0.69559 553.25300 6954.77000 272794.95960 -3478800.00000 -15749.50000 3484190.00000 
0.86146 9800.00000 -0.69559 669.43100 6964.97000 272794.95960 -3604490.00000 -18996.10000 3609700.00000 
0.86702 9800.00000 -0.69559 785.36300 6977.07000 272794.95960 -3729740.00000 -22235.80000 3734790.00000 
0.87257 9800.00000 -0.69559 902.21100 6991.19000 272794.95960 -3855630.00000 -25501.00000 3860540.00000 
0.87813 9800.00000 -0.69559 1015.64000 7006.73000 272794.95960 -3977950.00000 -28670.80000 3982740.00000 
0.88369 9800.00000 -0.69559 1141.82000 7026.13000 272794.95960 -4112290.00000 -32196.70000 4116940.00000 
0.88925 9800.00000 -0.69559 1160.97000 7029.26000 272794.95960 -4142870.00000 -32732.70000 4147490.00000 
0.89481 9800.00000 -0.69559 1156.09000 7028.46000 272794.95960 -4149890.00000 -32597.50000 4154500.00000 
0.90036 9800.00000 -0.69559 1157.40000 7028.67000 272794.95960 -4162540.00000 -32635.20000 4167140.00000 
0.90592 9800.00000 -0.69559 1157.05000 7028.62000 272794.95960 -4173240.00000 -32626.50000 4177830.00000 
0.91148 9800.00000 -0.69559 1157.14000 7028.63000 272794.95960 -4184020.00000 -32630.20000 4188600.00000 
0.91704 9800.00000 -0.69559 1157.11000 7028.63000 272794.95960 -4194330.00000 -32630.60000 4198900.00000 
0.92260 9800.00000 -0.69559 1157.12000 7028.63000 272794.95960 -4204330.00000 -32631.80000 4208880.00000 
0.92815 9800.00000 -0.69559 1157.12000 7028.63000 272794.95960 -4213960.00000 -32632.70000 4218510.00000 
0.93371 9800.00000 -0.69559 1157.12000 7028.63000 272794.95960 -4223250.00000 -32633.60000 4227780.00000 
0.93927 9800.00000 -0.69559 1157.12000 7028.63000 272794.95960 -4232190.00000 -32634.50000 4236710.00000 
0.94483 9800.00000 -0.69559 1157.12000 7028.63000 272794.95960 -4240780.00000 -32635.40000 4245290.00000 
0.95038 9800.00000 -0.69559 1157.12000 7028.63000 272794.95960 -4249010.00000 -32636.20000 4253520.00000 
0.95594 9800.00000 -0.69559 1157.12000 7028.63000 272794.95960 -4256900.00000 -32637.00000 4261400.00000 
0.96150 9800.00000 -0.69559 1157.12000 7028.63000 272794.95960 -4264440.00000 -32637.70000 4268920.00000 
0.96706 9800.00000 -0.69559 1157.12000 7028.63000 272794.95960 -4271620.00000 -32638.50000 4276100.00000 
0.97262 9800.00000 -0.69559 1157.12000 7028.63000 272794.95960 -4278460.00000 -32639.20000 4282930.00000 
0.97817 9800.00000 -0.69559 1157.12000 7028.63000 272794.95960 -4284940.00000 -32639.80000 4289410.00000 
0.98373 9800.00000 -0.69559 1157.12000 7028.63000 272794.95960 -4291080.00000 -32640.40000 4295540.00000 
0.98929 9800.00000 -0.69559 1157.12000 7028.63000 272794.95960 -4296870.00000 -32641.00000 4301320.00000 
0.99485 9800.00000 -0.69559 1157.12000 7028.63000 272794.95960 -4302300.00000 -32641.50000 4306750.00000 
1.00040 9800.00000 -0.69559 1157.12000 7028.63000 272794.95960 -4307390.00000 -32642.10000 4311830.00000 
1.00596 9800.00000 -0.69559 1157.12000 7028.63000 272794.95960 -4312120.00000 -32642.50000 4316560.00000 
1.01152 9800.00000 -0.69559 1157.12000 7028.63000 272794.95960 -4316510.00000 -32643.00000 4320940.00000 
1.01708 9800.00000 -0.69559 1157.12000 7028.63000 272794.95960 -4320540.00000 -32643.40000 4324980.00000 
1.02264 9800.00000 -0.69559 1157.12000 7028.63000 272794.95960 -4324220.00000 -32643.60000 4328650.00000 
1.02819 9800.00000 -0.69559 1157.13000 7028.63000 272794.95960 -4327580.00000 -32644.50000 4332000.00000 
1.03375 9800.00000 -0.69559 1157.07000 7028.62000 272794.95960 -4330500.00000 -32642.90000 4334920.00000 
1.03931 9800.00000 -0.69559 1157.31000 7028.66000 272794.95960 -4333370.00000 -32650.00000 4337790.00000 
1.04487 9800.00000 -0.69559 1156.41000 7028.51000 272794.95960 -4334780.00000 -32625.00000 4339200.00000 
1.05042 9800.00000 -0.69559 1159.78000 7029.07000 272794.95960 -4339970.00000 -32719.30000 4344380.00000 
1.05598 9800.00000 -0.69559 1047.64000 7011.44000 272794.95960 -4233220.00000 -29587.10000 4237720.00000 
1.06154 9800.00000 -0.69559 930.44800 6994.89000 272794.95960 -4121280.00000 -26313.70000 4125880.00000 
1.06710 9800.00000 -0.69559 814.60800 6980.42000 272794.95960 -4010360.00000 -23078.00000 4015060.00000 
1.07266 9800.00000 -0.69559 698.40500 6967.82000 272794.95960 -3898840.00000 -19832.20000 3903660.00000 
1.07821 9800.00000 -0.69559 582.30000 6957.14000 272794.95960 -3787200.00000 -16589.00000 3792150.00000 
1.08377 9800.00000 -0.69559 466.16800 6948.38000 272794.95960 -3675370.00000 -13345.10000 3680460.00000 
1.08933 9800.00000 -0.69559 350.04300 6941.56000 272794.95960 -3563400.00000 -10101.40000 3568630.00000 
1.09489 9800.00000 -0.69559 233.91700 6936.67000 272794.95960 -3451320.00000 -6857.65000 3456720.00000 
1.10044 9800.00000 -0.69559 117.79100 6933.73000 272794.95960 -3339170.00000 -3613.89000 3344750.00000 
1.10600 9800.00000 -0.69559 1.66477 9800.00000 272794.95960 -3226990.00000 -370.11700 3232760.00000 
