Time(s) Force[Z](Cylindrical:11)-CabeceoCaso1.iaa(N) Force[Y](Cylindrical:11)-CabeceoCaso1.iaa(N) Force[X](Cylindrical:11)-CabeceoCaso1.iaa(N) Force(Cylindrical:11)-CabeceoCaso1.iaa(N) Moment[Z](Cylindrical:11)-CabeceoCaso1.iaa(N.mm) Moment[Y](Cylindrical:11)-CabeceoCaso1.iaa(N.mm) Moment[X](Cylindrical:11)-CabeceoCaso1.iaa(N.mm) Moment(Cylindrical:11)-CabeceoCaso1.iaa(N.mm) 
0.96521 12134.70000 -1576.77000 0.80143 12236.70000 6078.21000 -1608.92000 61494.00000 61814.60000 
0.98053 12271.50000 -1620.98000 0.73168 12378.10000 6062.83000 -1644.17000 63218.40000 63529.80000 
0.99585 12397.30000 -1661.93000 0.66535 12508.20000 6046.87000 -1675.98000 64815.20000 65118.20000 
1.01117 12511.90000 -1699.48000 0.60200 12626.80000 6030.90000 -1704.55000 66279.80000 66575.50000 
1.02649 12615.60000 -1733.61000 0.54138 12734.10000 6015.60000 -1730.07000 67610.70000 67899.80000 
1.04181 12706.90000 -1764.03000 0.48225 12828.80000 6001.39000 -1752.72000 68797.00000 69080.50000 
1.05713 12790.80000 -1791.38000 0.42696 12915.60000 5989.92000 -1772.93000 69863.80000 70142.50000 
1.07245 12849.00000 -1812.90000 0.36460 12976.20000 5978.57000 -1790.36000 70703.10000 70978.00000 
1.08778 12949.00000 -1838.65000 0.33431 13078.90000 5981.10000 -1807.66000 71707.40000 71979.10000 
1.10310 12797.60000 -1824.48000 0.16622 12927.00000 5942.98000 -1814.86000 71154.90000 71425.70000 
1.11842 12336.90000 -1761.50000 -0.17204 12462.00000 5854.12000 -1810.08000 68698.50000 68971.20000 
1.13374 11926.40000 -1704.14000 -0.47159 12047.50000 5782.74000 -1806.50000 66461.40000 66737.00000 
1.14906 11491.00000 -1641.43000 -0.77421 11607.60000 5715.20000 -1802.05000 64015.80000 64295.60000 
1.16438 11055.60000 -1577.45000 -1.06225 11167.60000 5655.98000 -1797.86000 61520.40000 61806.00000 
1.17970 10605.80000 -1510.33000 -1.33899 10712.80000 5601.40000 -1793.34000 58902.90000 59195.80000 
1.19502 10183.50000 -1446.72000 -1.57410 10285.80000 5557.05000 -1789.46000 56422.00000 56723.30000 
1.21034 9644.59000 -1365.04000 -1.84416 9740.71000 5492.26000 -1780.04000 53236.40000 53548.50000 
1.22566 9644.71000 -1364.89000 -1.76676 9740.81000 5524.33000 -1786.99000 53230.60000 53546.30000 
1.24098 10183.90000 -1446.28000 -1.33927 10286.00000 5647.58000 -1808.45000 56404.80000 56715.70000 
1.25630 10606.30000 -1509.62000 -0.94089 10713.20000 5734.01000 -1819.04000 58875.00000 59181.60000 
1.27163 11056.30000 -1576.49000 -0.49787 11168.10000 5805.97000 -1822.42000 61483.00000 61783.40000 
1.28695 11491.90000 -1640.26000 -0.05105 11608.30000 5853.57000 -1816.74000 63970.30000 64263.30000 
1.30227 11927.40000 -1702.82000 0.38606 12048.30000 5878.46000 -1802.65000 66410.10000 66694.10000 
1.31759 12337.90000 -1760.09000 0.77129 12462.80000 5880.94000 -1781.55000 68643.60000 68918.00000 
