Time(s) Force[Z](Cylindrical:11)-BalanceoCaso2.iaa(N) Force[Y](Cylindrical:11)-BalanceoCaso2.iaa(N) Force[X](Cylindrical:11)-BalanceoCaso2.iaa(N) Force(Cylindrical:11)-BalanceoCaso2.iaa(N) Moment[Z](Cylindrical:11)-BalanceoCaso2.iaa(N.mm) Moment[Y](Cylindrical:11)-BalanceoCaso2.iaa(N.mm) Moment[X](Cylindrical:11)-BalanceoCaso2.iaa(N.mm) Moment(Cylindrical:11)-BalanceoCaso2.iaa(N.mm) 
0.35497 9859.53000 -1397.53000 -41.59610 9958.17000 12037.90000 -5366.13000 54503.80000 56074.70000 
0.36408 9862.42000 -1398.14000 10.72530 9961.04000 2683.86000 -416.39600 54527.50000 54595.10000 
0.37318 9858.79000 -1398.14000 63.06060 9957.64000 -6660.96000 4530.77000 54527.50000 55119.40000 
0.38228 9848.68000 -1397.54000 115.41900 9948.01000 -15959.80000 9463.79000 54504.20000 57575.90000 
0.39138 9832.16000 -1396.37000 167.85000 9932.24000 -25178.70000 14373.60000 54458.40000 61695.10000 
0.40048 9809.44000 -1394.65000 220.25856 9910.53000 -34275.10000 19242.70000 54391.40000 67108.10000 
0.40959 9780.54000 -1392.42000 273.07500 9882.94000 -43243.10000 24085.80000 54304.40000 73478.30000 
0.41869 9746.25000 -1389.74000 324.77200 9850.20000 -51945.60000 28800.40000 54200.10000 80408.00000 
0.42779 9705.48000 -1386.74000 381.11500 9811.46000 -60738.30000 33721.50000 54083.00000 88041.20000 
0.43689 9662.26000 -1382.81000 419.18900 9769.70000 -68060.60000 37471.10000 53929.60000 94576.50000 
0.44599 9628.91000 -1377.73000 411.41700 9735.68000 -72132.40000 38421.60000 53731.60000 97808.00000 
0.45510 9595.85000 -1372.95000 410.99700 9702.28000 -76495.00000 39747.40000 53544.90000 101481.00000 
0.46420 9563.48000 -1367.98000 408.74900 9669.46000 -80541.20000 40902.10000 53351.20000 104911.00000 
0.47330 9531.93000 -1363.04000 407.12300 9637.49000 -84434.30000 42031.90000 53158.50000 108267.00000 
0.48240 9501.17000 -1358.09000 405.45700 9606.30000 -88132.60000 43098.40000 52965.70000 111491.00000 
0.49150 9471.29000 -1353.19000 403.92300 9575.99000 -91649.60000 44112.50000 52774.60000 114589.00000 
0.50060 9442.31000 -1348.36000 402.46994 9546.58000 -94984.00000 45072.00000 52585.90000 117553.00000 
0.50971 9414.29000 -1343.61000 401.10600 9518.14000 -98138.70000 45978.40000 52400.70000 120379.00000 
0.51881 9387.27000 -1338.97000 399.82500 9490.71000 -101116.00000 46832.20000 52219.80000 123063.00000 
0.52791 9361.32000 -1334.46000 398.62500 9464.35000 -103918.00000 47634.30000 52043.90000 125605.00000 
0.53701 9336.46000 -1330.10000 397.50100 9439.11000 -106547.00000 48385.50000 51874.00000 128001.00000 
0.54611 9312.77000 -1325.91000 396.45100 9415.04000 -109006.00000 49086.70000 51710.70000 130253.00000 
0.55522 9290.28000 -1321.91000 395.47300 9392.19000 -111297.00000 49738.80000 51554.50000 132359.00000 
0.56432 9269.04000 -1318.11000 394.56400 9370.61000 -113423.00000 50342.60000 51406.20000 134320.00000 
0.57342 9249.11000 -1314.52000 393.72200 9350.34000 -115386.00000 50899.10000 51266.20000 136136.00000 
0.58252 9230.51000 -1311.15000 392.94400 9331.45000 -117189.00000 51409.10000 51135.00000 137808.00000 
0.59162 9213.30000 -1308.03000 392.23100 9313.95000 -118834.00000 51873.70000 51013.10000 139337.00000 
0.60073 9197.53000 -1305.15000 391.57200 9297.92000 -120323.00000 52292.90000 50900.80000 140724.00000 
0.60983 9183.19000 -1302.52000 391.00650 9283.34000 -121661.00000 52670.00000 50798.50000 141972.00000 
0.61893 9170.44000 -1300.16000 390.37561 9270.37000 -122841.00000 52997.10000 50706.20000 143073.00000 
0.62803 9158.93000 -1298.09000 390.27100 9258.69000 -123894.00000 53306.70000 50625.40000 144064.00000 
0.63713 9150.00000 -1296.19000 388.48400 9249.51000 -124716.00000 53480.60000 50551.50000 144809.00000 
0.64624 9138.92000 -1294.97000 393.25500 9238.59000 -125702.00000 53962.40000 50503.70000 145820.00000 
0.65534 9145.84000 -1292.17000 368.86600 9244.03000 -125147.00000 52834.70000 50394.80000 144889.00000 
0.66444 9175.47000 -1287.37000 308.22000 9270.47000 -122746.00000 49727.10000 50207.60000 141634.00000 
0.67354 9202.77000 -1283.28000 254.93400 9295.31000 -120589.00000 46983.10000 50047.80000 138758.00000 
0.68264 9232.41000 -1279.22000 199.67500 9322.75000 -118244.00000 44105.50000 49889.80000 135705.00000 
0.69175 9262.49000 -1275.37000 145.25100 9351.01000 -115857.00000 41248.50000 49739.40000 132659.00000 
0.70085 9293.79000 -1271.55000 89.72720 9380.80000 -113352.00000 38312.90000 49590.40000 129521.00000 
0.70995 9323.26000 -1268.04000 38.00620 9409.18000 -110975.00000 35565.10000 49453.70000 126593.00000 
0.71905 9360.84000 -1263.68000 -27.61776 9445.79000 -107910.00000 32064.40000 49283.50000 122888.00000 
0.72815 9360.92000 -1263.57000 -27.60170 9445.85000 -107914.00000 32066.30000 49279.10000 122890.00000 
0.73725 9323.50000 -1267.71000 38.05650 9409.37000 -110986.00000 35570.70000 49440.80000 126600.00000 
0.74636 9294.19000 -1271.00000 89.81700 9381.12000 -113370.00000 38322.00000 49569.10000 129532.00000 
0.75546 9263.04000 -1274.62000 145.38800 9351.46000 -115880.00000 41260.90000 49710.30000 132672.00000 
0.76456 9233.10000 -1278.30000 199.87100 9323.31000 -118268.00000 44120.60000 49853.50000 135718.00000 
0.77366 9203.59000 -1282.19000 255.20100 9295.98000 -120611.00000 47000.40000 50005.30000 138768.00000 
0.78276 9176.42000 -1286.15000 308.56900 9271.25000 -122763.00000 49746.00000 50159.70000 141638.00000 
0.79187 9146.89000 -1290.83000 369.31000 9244.90000 -125157.00000 52854.90000 50342.50000 144887.00000 
0.80097 9140.06000 -1293.55000 393.80200 9239.54000 -125701.00000 53983.30000 50448.30000 145808.00000 
0.81007 9151.20000 -1294.72000 389.14200 9250.52000 -124701.00000 53502.00000 50494.20000 144785.00000 
0.81917 9160.17000 -1296.60000 391.04500 9259.74000 -123868.00000 53328.80000 50567.40000 144029.00000 
0.82827 9171.70000 -1298.68000 391.26300 9271.45000 -122803.00000 53019.80000 50648.50000 143027.00000 
0.83737 9184.46000 -1301.08000 392.00600 9284.44000 -121610.00000 52693.40000 50742.00000 141917.00000 
0.84648 9198.76000 -1303.76000 392.67600 9298.99000 -120268.00000 52318.90000 50846.70000 140666.00000 
0.85558 9214.47000 -1306.74000 393.42300 9314.97000 -118783.00000 51904.50000 50962.80000 139287.00000 
0.86468 9231.60000 -1309.97000 394.20700 9332.41000 -117142.00000 51444.00000 51088.80000 137764.00000 
0.87378 9250.09000 -1313.45000 395.03800 9351.23000 -115347.00000 50938.40000 51224.60000 136101.00000 
0.88289 9269.92000 -1317.17000 395.91200 9371.40000 -113394.00000 50386.40000 51369.60000 134298.00000 
0.89199 9291.05000 -1321.10000 396.83136 9392.89000 -111281.00000 49787.00000 51523.00000 132351.00000 
0.90109 9313.42000 -1325.24000 397.79900 9415.64000 -109004.00000 49138.90000 51684.20000 130261.00000 
0.91019 9337.00000 -1329.55000 398.82000 9439.61000 -106560.00000 48441.00000 51852.50000 128025.00000 
0.91929 9361.74000 -1334.03000 399.89700 9464.76000 -103945.00000 47692.40000 52027.00000 125642.00000 
0.92839 9387.59000 -1338.64000 401.03800 9491.03000 -101156.00000 46891.90000 52207.10000 123114.00000 
0.93750 9414.51000 -1343.38000 402.24800 9518.38000 -98190.40000 46038.90000 52391.80000 120440.00000 
0.94660 9442.45000 -1348.22000 403.53360 9546.75000 -95045.10000 45132.40000 52580.40000 117623.00000 
0.95570 9471.36000 -1353.13000 404.90400 9576.09000 -91718.00000 44171.90000 52772.00000 114666.00000 
0.96480 9501.19000 -1358.09000 406.35200 9606.36000 -88206.20000 43156.10000 52965.50000 111571.00000 
0.97390 9531.90000 -1363.08000 407.93300 9637.50000 -84511.10000 42087.30000 53160.30000 108349.00000 
0.98301 9563.41000 -1368.06000 409.47600 9669.44000 -80619.40000 40954.70000 53354.50000 104993.00000 
0.99211 9595.76000 -1373.06000 411.64500 9702.23000 -76573.10000 39796.90000 53549.40000 101562.00000 
1.00121 9628.80000 -1377.87000 411.99000 9735.61000 -72209.10000 38467.80000 53737.00000 97885.60000 
1.01031 9662.13000 -1382.96000 419.69400 9769.62000 -68134.90000 37513.80000 53935.50000 94650.40000 
1.01941 9705.35000 -1386.91000 381.55500 9811.37000 -60809.20000 33760.70000 54089.30000 88109.00000 
1.02851 9746.12000 -1389.91000 325.15500 9850.10000 -52012.50000 28836.10000 54206.50000 80468.40000 
1.03762 9780.41000 -1392.59000 273.40600 9882.84000 -43305.90000 24118.20000 54310.90000 73530.70000 
1.04672 9809.31000 -1394.81000 220.54400 9910.43000 -34333.80000 19272.00000 54397.80000 67151.60000 
1.05582 9832.04000 -1396.53000 168.09433 9932.14000 -25233.20000 14400.00000 54464.60000 61729.00000 
1.06492 9848.56000 -1397.70000 115.62800 9947.92000 -16010.30000 9487.65000 54510.20000 57599.60000 
1.07402 9858.68000 -1398.29000 63.23770 9957.55000 -6707.86000 4552.26000 54533.20000 55132.50000 
1.08313 9862.32000 -1398.28000 10.87510 9960.96000 2640.36000 -397.02700 54532.90000 54598.30000 
1.09223 9859.43000 -1397.67000 -41.47002 9958.09000 11997.40000 -5348.64000 54509.00000 56069.40000 
1.10133 9850.04000 -1396.45000 -93.82190 9948.97000 21327.40000 -10291.80000 54461.50000 59387.20000 
1.11043 9834.21000 -1394.65000 -146.18800 9933.68000 30593.40000 -15214.90000 54391.20000 64232.80000 
1.11953 9812.04000 -1392.28000 -198.62800 9912.31000 39762.80000 -20109.60000 54298.90000 70241.30000 
1.12864 9783.81000 -1389.40000 -251.01000 9885.16000 48790.80000 -24956.50000 54186.50000 77068.50000 
1.13774 9749.42000 -1386.01000 -303.90600 9852.14000 57681.60000 -29778.80000 54054.60000 84473.90000 
1.14684 9710.30000 -1382.29000 -355.26600 9814.62000 66265.30000 -34443.40000 53909.20000 92106.60000 
1.15594 9663.24000 -1378.06000 -412.79900 9769.73000 75023.20000 -39400.40000 53744.30000 100346.00000 
1.16504 9624.20000 -1372.94000 -419.68800 9730.69000 80167.40000 -41257.60000 53544.70000 104862.00000 
1.17415 9590.08000 -1367.82000 -415.28300 9696.04000 84368.30000 -42379.60000 53345.10000 108442.00000 
1.18325 9555.90000 -1362.68000 -413.92500 9661.44000 88568.40000 -43618.60000 53144.70000 112122.00000 
1.19235 9522.67000 -1357.50000 -411.89100 9627.76000 92526.80000 -44754.50000 52942.50000 115616.00000 
1.20145 9490.26000 -1352.33000 -410.17000 9594.90000 96309.90000 -45846.80000 52740.90000 118992.00000 
1.21055 9458.75000 -1347.20000 -408.49400 9562.93000 99902.50000 -46880.30000 52540.60000 122224.00000 
1.21965 9428.16000 -1342.12000 -406.93000 9531.90000 103311.00000 -47860.00000 52342.80000 125314.00000 
1.22876 9398.57000 -1337.14000 -405.45500 9501.86000 106537.00000 -48785.60000 52148.30000 128256.00000 
1.23786 9370.00000 -1332.26000 -404.07200 9472.86000 109584.00000 -49658.00000 51958.10000 131050.00000 
1.24696 9342.52000 -1327.51000 -402.77533 9444.96000 112453.00000 -50478.20000 51773.00000 133694.00000 
1.25606 9316.17000 -1322.92000 -401.56400 9418.20000 115147.00000 -51247.10000 51593.80000 136187.00000 
1.26516 9291.01000 -1318.50000 -400.43500 9392.63000 117669.00000 -51965.60000 51421.30000 138530.00000 
1.27427 9267.08000 -1314.26000 -399.38600 9368.32000 120022.00000 -52634.70000 51256.20000 140722.00000 
1.28337 9244.43000 -1310.23000 -398.41500 9345.31000 122208.00000 -53255.30000 51099.00000 142765.00000 
1.29247 9223.11000 -1306.42000 -397.52000 9323.65000 124230.00000 -53828.30000 50950.30000 144660.00000 
1.30157 9203.16000 -1302.84000 -396.69900 9303.38000 126090.00000 -54354.70000 50810.70000 146407.00000 
1.31067 9184.63000 -1299.50000 -395.95100 9284.55000 127792.00000 -54835.40000 50680.70000 148007.00000 
1.31978 9167.56000 -1296.42000 -395.27500 9267.21000 129337.00000 -55271.30000 50560.50000 149463.00000 
1.32888 9151.99000 -1293.61000 -394.66600 9251.39000 130727.00000 -55663.10000 50450.80000 150776.00000 
1.33798 9137.95000 -1291.07000 -394.13700 9237.12000 131966.00000 -56012.10000 50351.70000 151947.00000 
1.34708 9125.50000 -1288.81000 -393.63700 9224.46000 133054.00000 -56316.60000 50263.50000 152975.00000 
1.35618 9114.54000 -1286.84000 -393.34900 9213.34000 133999.00000 -56587.00000 50186.80000 153872.00000 
1.36529 9105.58000 -1285.15000 -392.58800 9204.20000 134773.00000 -56787.10000 50120.80000 154598.00000 
1.37439 9096.89000 -1283.83000 -393.91000 9195.48000 135497.00000 -57054.60000 50069.30000 155311.00000 
1.38349 9121.81000 -1280.01000 -340.90700 9217.49000 133480.00000 -54361.60000 49920.30000 152526.00000 
1.39259 9150.36000 -1276.36000 -285.57600 9243.36000 131244.00000 -51511.70000 49777.90000 149520.00000 
1.40169 9179.97000 -1272.95000 -230.93500 9270.68000 128941.00000 -48669.60000 49645.00000 146490.00000 
1.41079 9210.77000 -1269.71000 -176.16900 9299.54000 126548.00000 -45795.70000 49518.60000 143401.00000 
1.41990 9242.27000 -1266.60000 -121.48600 9329.45000 124088.00000 -42905.10000 49397.50000 140281.00000 
1.42900 9274.24000 -1263.60000 -66.81950 9360.16000 121573.00000 -39999.20000 49280.30000 137144.00000 
1.43810 9306.42000 -1260.65000 -12.17700 9391.43000 119023.00000 -37083.40000 49165.50000 134010.00000 
1.44720 9338.68000 -1257.74000 42.45520 9423.09000 116454.00000 -34162.70000 49051.80000 130899.00000 
