Time(s) Force[Z](Cylindrical:11)-BalanceoCaso3.iaa(N) Force[Y](Cylindrical:11)-BalanceoCaso3.iaa(N) Force[X](Cylindrical:11)-BalanceoCaso3.iaa(N) Force(Cylindrical:11)-BalanceoCaso3.iaa(N) Moment[Z](Cylindrical:11)-BalanceoCaso3.iaa(N.mm) Moment[Y](Cylindrical:11)-BalanceoCaso3.iaa(N.mm) Moment[X](Cylindrical:11)-BalanceoCaso3.iaa(N.mm) Moment(Cylindrical:11)-BalanceoCaso3.iaa(N.mm) 
0.95570 -3206.55000 1811.11000 554.14100 3724.13000 -676742.00000 -126101.00000 -251908.00000 733034.00000 
0.96480 -3151.83000 1796.07000 552.15800 3669.44000 -667395.00000 -123472.00000 -249816.00000 723235.00000 
0.97390 -3095.82000 1780.45000 550.03500 3613.39000 -657755.00000 -120778.00000 -247642.00000 713131.00000 
0.98301 -3038.50000 1764.19000 547.55500 3555.93000 -647617.00000 -117989.00000 -245379.00000 702524.00000 
0.99211 -2980.51000 1747.51000 545.46600 3497.83000 -637788.00000 -115245.00000 -243058.00000 692194.00000 
1.00121 -2920.27000 1729.74000 540.91100 3436.94000 -625295.00000 -112053.00000 -240585.00000 679287.00000 
1.01031 -2863.72000 1713.23000 544.51300 3381.20000 -621286.00000 -110274.00000 -238289.00000 674491.00000 
1.01941 -2781.62000 1686.36000 494.57500 3290.26000 -561269.00000 -99185.90000 -234540.00000 616336.00000 
1.02851 -2699.06000 1658.76000 422.95800 3196.14000 -478772.00000 -84406.50000 -230683.00000 538109.00000 
1.03762 -2630.03000 1635.85000 356.26178 3117.69000 -401618.00000 -70563.50000 -227481.00000 466930.00000 
1.04672 -2572.30000 1616.78000 287.86300 3051.81000 -322868.00000 -56498.90000 -224810.00000 397462.00000 
1.05582 -2527.10000 1601.99000 219.60200 3000.14000 -244414.00000 -42519.70000 -222736.00000 333403.00000 
1.06492 -2494.73000 1591.60000 151.05600 2963.05000 -165774.00000 -28537.50000 -221272.00000 277951.00000 
1.07402 -2475.54000 1585.72000 82.41370 2941.02000 -87098.20000 -14567.20000 -220436.00000 237466.00000 
1.08313 -2469.73000 1584.43000 13.70440 2934.31000 -8365.88000 -594.47100 -220238.00000 220398.00000 
1.09223 -2477.39000 1587.77000 -54.99680 2943.04000 70399.30000 13388.00000 -220683.00000 232027.00000 
1.10133 -2498.50000 1595.72000 -123.63100 2967.17000 149190.00000 27390.50000 -221770.00000 268681.00000 
1.11043 -2532.92000 1608.23000 -192.12000 3006.49000 227978.00000 41419.30000 -223489.00000 321927.00000 
1.11953 -2580.41000 1625.21000 -260.45000 3060.66000 306796.00000 55490.00000 -225830.00000 384970.00000 
1.12864 -2640.53000 1646.48000 -328.39200 3129.08000 385445.00000 69578.50000 -228767.00000 453589.00000 
1.13774 -2713.07000 1671.97000 -396.53300 3211.46000 464572.00000 83799.90000 -232292.00000 526126.00000 
1.14684 -2796.21000 1700.98000 -462.44200 3305.45000 541648.00000 97738.60000 -236306.00000 598979.00000 
1.15594 -2894.26000 1735.29000 -534.96900 3416.75000 625972.00000 112948.00000 -241054.00000 680224.00000 
1.16504 -2964.12000 1757.27000 -548.42800 3489.24000 648426.00000 117873.00000 -244104.00000 702806.00000 
1.17415 -3025.16000 1775.38000 -548.45800 3550.26000 656719.00000 120434.00000 -246619.00000 711762.00000 
1.18325 -3087.56000 1793.84000 -551.65600 3613.20000 668272.00000 123539.00000 -249183.00000 723838.00000 
1.19235 -3148.25000 1811.43000 -553.73500 3674.15000 678550.00000 126424.00000 -251625.00000 734662.00000 
1.20145 -3207.96000 1828.49000 -555.85553 3734.07000 688755.00000 129286.00000 -253993.00000 745393.00000 
1.21055 -3266.28000 1844.88000 -557.72100 3792.53000 698551.00000 132067.00000 -256269.00000 755704.00000 
1.21965 -3323.17000 1860.63000 -559.42600 3849.47000 708015.00000 134775.00000 -258456.00000 765669.00000 
1.22876 -3378.47000 1875.72000 -560.95700 3904.75000 717113.00000 137401.00000 -260550.00000 775253.00000 
1.23786 -3432.05000 1890.12000 -562.33200 3958.25000 725842.00000 139940.00000 -262551.00000 784451.00000 
1.24696 -3483.77000 1903.84000 -563.55800 4009.85000 734189.00000 142387.00000 -264455.00000 793249.00000 
1.25606 -3533.52000 1916.85000 -564.64624 4059.42000 742145.00000 144735.00000 -266262.00000 801637.00000 
1.26516 -3581.16000 1929.15000 -565.60700 4106.86000 749698.00000 146981.00000 -267970.00000 809604.00000 
1.27427 -3626.59000 1940.73000 -566.45100 4152.04000 756841.00000 149118.00000 -269577.00000 817139.00000 
1.28337 -3669.67000 1951.57000 -567.18800 4194.85000 763562.00000 151141.00000 -271082.00000 824231.00000 
1.29247 -3710.30000 1961.67000 -567.82700 4235.20000 769855.00000 153046.00000 -272485.00000 830871.00000 
1.30157 -3748.38000 1971.03000 -568.38100 4272.98000 775709.00000 154828.00000 -273784.00000 837051.00000 
1.31067 -3783.81000 1979.63000 -568.85700 4308.10000 781119.00000 156482.00000 -274979.00000 842762.00000 
1.31978 -3816.48000 1987.48000 -569.26593 4340.47000 786079.00000 158005.00000 -276069.00000 847997.00000 
1.32888 -3846.32000 1994.58000 -569.61300 4370.01000 790577.00000 159392.00000 -277054.00000 852746.00000 
1.33798 -3873.25000 2000.92000 -569.92000 4396.66000 794626.00000 160642.00000 -277935.00000 857020.00000 
1.34708 -3897.14000 2006.48000 -570.13800 4420.26000 798160.00000 161742.00000 -278707.00000 860754.00000 
1.35618 -3918.22000 2011.39000 -570.48100 4441.12000 801403.00000 162730.00000 -279387.00000 864167.00000 
1.36529 -3935.25000 2015.17000 -570.17500 4457.83000 803501.00000 163455.00000 -279912.00000 866420.00000 
1.37439 -3952.65000 2019.58000 -572.12800 4475.43000 807627.00000 164470.00000 -280525.00000 870636.00000 
1.38349 -3871.23000 1985.58000 -512.25800 4380.79000 743678.00000 153501.00000 -275814.00000 807894.00000 
1.39259 -3781.75000 1948.93000 -449.69400 4278.10000 676314.00000 141863.00000 -270736.00000 742175.00000 
1.40169 -3690.38000 1911.97000 -387.85600 4174.32000 609366.00000 130241.00000 -265615.00000 677378.00000 
1.41079 -3596.48000 1874.35000 -325.81600 4068.66000 541900.00000 118484.00000 -260403.00000 612784.00000 
1.41990 -3501.09000 1836.41000 -263.81200 3962.28000 474255.00000 106663.00000 -255145.00000 548993.00000 
1.42900 -3404.68000 1798.25000 -201.77800 3855.68000 406422.00000 94786.70000 -249857.00000 486407.00000 
1.43810 -3307.71000 1759.98000 -139.73100 3749.40000 338483.00000 82878.30000 -244555.00000 425731.00000 
1.44720 -3210.51000 1721.69000 -77.67470 3643.84000 270491.00000 70954.70000 -239248.00000 368021.00000 
