Time(s) Force[Z](Cylindrical:11)-CabeceoCaso2.iaa(N) Force[Y](Cylindrical:11)-CabeceoCaso2.iaa(N) Force[X](Cylindrical:11)-CabeceoCaso2.iaa(N) Force(Cylindrical:11)-CabeceoCaso2.iaa(N) Moment[Z](Cylindrical:11)-CabeceoCaso2.iaa(N.mm) Moment[Y](Cylindrical:11)-CabeceoCaso2.iaa(N.mm) Moment[X](Cylindrical:11)-CabeceoCaso2.iaa(N.mm) Moment(Cylindrical:11)-CabeceoCaso2.iaa(N.mm) 
0.38302 -3894.85000 1231.63000 84.05540 4085.80000 -17573.10000 23.11450 -48033.60000 51147.30000 
0.39834 -3706.78000 1201.12000 80.83530 3897.36000 -15759.00000 394.71600 -46843.80000 49425.10000 
0.41366 -3510.37000 1168.95000 77.51280 3700.70000 -14024.90000 718.22700 -45589.00000 47703.00000 
0.42898 -3305.12000 1135.04000 74.08520 3495.37000 -12387.40000 991.23000 -44266.40000 45977.70000 
0.44430 -3092.94000 1099.47000 70.58200 3283.30000 -10871.30000 1212.41000 -42879.40000 44252.60000 
0.45962 -2866.63000 1061.70000 66.91110 3057.66000 -9474.78000 1380.62000 -41406.40000 42499.00000 
0.47494 -2653.12000 1023.58000 63.43190 2844.43000 -8284.40000 1502.18000 -39919.70000 40798.00000 
0.49027 -2348.18000 977.54300 58.78400 2544.21000 -7097.49000 1551.33000 -38124.20000 38810.20000 
0.50559 -1665.52000 902.03479 49.45640 1894.75000 -5711.08000 1408.12000 -35179.40000 35667.70000 
0.52091 -1016.25000 826.82200 40.92410 1310.75000 -5136.28000 1197.81000 -32246.00000 32674.50000 
0.53623 -345.16700 747.67900 32.46920 824.14700 -5270.56000 931.17200 -29159.50000 29646.60000 
0.55155 331.90000 665.68800 24.29940 744.23700 -6130.96000 644.92600 -25961.80000 26683.70000 
0.56687 1018.24000 580.47700 16.37030 1172.19000 -7698.18000 369.21300 -22638.60000 23914.50000 
0.58219 1711.94000 492.08300 8.70018 1781.28000 -9950.32000 136.16400 -19191.30000 21617.90000 
0.59751 2412.46000 400.45400 1.28606 2445.47000 -12857.70000 -23.91690 -15617.70000 20229.50000 
0.61283 3118.82000 305.58600 -5.87368 3133.76000 -16384.80000 -82.61090 -11917.90000 20260.90000 
0.62815 3830.11000 207.49900 -12.78557 3835.75000 -20490.90000 -14.39500 -8092.45000 22031.00000 
0.64347 4545.26000 106.25200 -19.45840 4546.55000 -25130.90000 202.78400 -4143.82000 25471.00000 
0.65879 5263.43000 1.92195 -25.90741 5263.50000 -30256.80000 586.82700 -74.95610 30262.60000 
0.67412 5982.66000 -105.27200 -32.13930 5983.67000 -35815.00000 1151.41000 4105.60000 36067.90000 
0.68944 6704.77000 -215.43200 -38.20280 6708.34000 -41762.10000 1904.74000 8401.84000 42641.40000 
0.70476 7416.94000 -327.17100 -43.99590 7424.29000 -48003.30000 2851.70000 12759.70000 49752.00000 
0.72008 8161.14000 -444.55900 -49.97110 8173.40000 -54648.80000 3990.68000 17337.80000 57471.80000 
0.73540 8761.33000 -549.18700 -54.38895 8778.70000 -60925.50000 5301.64000 21418.30000 64797.90000 
0.75072 9004.58000 -617.22700 -55.29580 9025.88000 -65670.30000 6679.89000 24071.90000 70261.40000 
0.76604 9293.84000 -690.21700 -56.77680 9319.61000 -70498.20000 8138.49000 26918.40000 75900.20000 
0.78136 9558.51000 -760.49500 -58.10370 9588.89000 -75098.30000 9653.24000 29659.30000 81318.00000 
0.79668 9817.50000 -829.97900 -59.43790 9852.70000 -79572.50000 11221.00000 32369.20000 86634.10000 
0.81200 10065.60000 -897.91100 -60.70560 10105.70000 -83888.20000 12828.40000 35018.50000 91804.60000 
0.82732 10304.10000 -964.27000 -61.90620 10349.30000 -88049.10000 14465.10000 37606.50000 96830.50000 
0.84264 10532.40000 -1028.84000 -63.02970 10582.80000 -92050.00000 16119.80000 40124.60000 101701.00000 
0.85796 10750.80000 -1091.45000 -64.07750 10806.20000 -95887.70000 17781.30000 42566.70000 106407.00000 
0.87328 10958.90000 -1151.95000 -65.05520 11019.50000 -99558.50000 19438.20000 44926.20000 110942.00000 
0.88861 11156.80000 -1210.19000 -65.97060 11222.40000 -103059.00000 21079.70000 47197.30000 115296.00000 
0.90393 11344.30000 -1266.01000 -66.83160 11414.90000 -106387.00000 22695.10000 49374.40000 119462.00000 
0.91925 11521.30000 -1319.29000 -67.64460 11596.80000 -109539.00000 24274.10000 51452.30000 123432.00000 
0.93457 11687.70000 -1369.89000 -68.41400 11767.90000 -112513.00000 25806.90000 53425.80000 127199.00000 
0.94989 11843.50000 -1417.70000 -69.14210 11928.30000 -115306.00000 27284.00000 55290.40000 130755.00000 
0.96521 11988.60000 -1462.61000 -69.82930 12077.70000 -117915.00000 28696.50000 57041.70000 134094.00000 
0.98053 12122.80000 -1504.50000 -70.47470 12216.00000 -120336.00000 30035.90000 58675.30000 137207.00000 
0.99585 12246.20000 -1543.27000 -71.07679 12343.20000 -122569.00000 31294.20000 60187.70000 140089.00000 
1.01117 12358.50000 -1578.83000 -71.63260 12459.20000 -124608.00000 32463.60000 61574.50000 142732.00000 
1.02649 12460.10000 -1611.14000 -72.14280 12564.00000 -126454.00000 33537.90000 62834.40000 145133.00000 
1.04181 12549.60000 -1639.93000 -72.59450 12656.50000 -128094.00000 34508.20000 63957.40000 147274.00000 
1.05713 12631.70000 -1665.80000 -73.02530 12741.30000 -129564.00000 35377.80000 64966.10000 149195.00000 
1.07245 12688.50000 -1686.23000 -73.28490 12800.30000 -130724.00000 36107.00000 65763.00000 150723.00000 
1.08778 12786.80000 -1710.33000 -73.92662 12900.90000 -132085.00000 36822.70000 66702.90000 152485.00000 
1.10310 12636.90000 -1698.17000 -72.54300 12750.70000 -131411.00000 36941.50000 66228.60000 151722.00000 
1.11842 12181.70000 -1641.69000 -68.67180 12292.00000 -128243.00000 36334.20000 64026.10000 147871.00000 
1.13374 11776.10000 -1590.17000 -65.25700 11883.20000 -125347.00000 35730.40000 62016.60000 144342.00000 
1.14906 11346.10000 -1533.70000 -61.66920 11449.50000 -122170.00000 34997.90000 59814.30000 140457.00000 
1.16438 10916.10000 -1476.00000 -58.10180 11015.60000 -118923.00000 34203.90000 57564.10000 136478.00000 
1.17970 10471.90000 -1415.43000 -54.42990 10567.30000 -115514.00000 33335.10000 55201.60000 132295.00000 
1.19502 10054.90000 -1358.00000 -50.99120 10146.30000 -112282.00000 32491.80000 52961.90000 128328.00000 
1.21034 9522.73000 -1284.21000 -46.60440 9609.04000 -108131.00000 31391.90000 50084.30000 123232.00000 
1.22566 9522.72000 -1284.22000 -46.63110 9609.04000 -108129.00000 31390.30000 50084.50000 123231.00000 
1.24098 10054.90000 -1358.01000 -51.07210 10146.30000 -112277.00000 32486.90000 52962.50000 128322.00000 
1.25630 10471.90000 -1415.45000 -54.56750 10567.30000 -115502.00000 33326.10000 55202.50000 132283.00000 
1.27163 10916.10000 -1476.03000 -58.29920 11015.60000 -118902.00000 34189.70000 57565.00000 136456.00000 
1.28695 11346.10000 -1533.71000 -61.92930 11449.50000 -122135.00000 34977.00000 59814.80000 140422.00000 
1.30227 11776.10000 -1590.16000 -65.58060 11883.20000 -125293.00000 35701.20000 62016.20000 144287.00000 
1.31759 12181.70000 -1641.65000 -69.05550 12292.10000 -128163.00000 36294.80000 64024.20000 147791.00000 
1.33291 12637.00000 -1698.07000 -72.97690 12750.80000 -131299.00000 36890.80000 66224.60000 151611.00000 
1.34823 12787.00000 -1710.15000 -74.39260 12901.10000 -131938.00000 36760.30000 66696.00000 152339.00000 
1.36355 12688.90000 -1685.97000 -73.75610 12800.60000 -130541.00000 36034.20000 65752.80000 150542.00000 
1.37887 12632.20000 -1665.44000 -73.46820 12741.70000 -129350.00000 35297.50000 64952.10000 148984.00000 
1.39419 12550.10000 -1639.48000 -72.97280 12657.00000 -127861.00000 34425.40000 63939.80000 147044.00000 
1.40951 12460.70000 -1610.61000 -72.42280 12564.60000 -126217.00000 33458.80000 62813.60000 144899.00000 
1.42483 12359.20000 -1578.24000 -71.78860 12459.80000 -124388.00000 32395.50000 61551.40000 142515.00000 
1.44015 12246.80000 -1542.64000 -71.09436 12343.80000 -122387.00000 31242.90000 60162.90000 139908.00000 
1.45547 12123.40000 -1503.84000 -70.35090 12216.60000 -120212.00000 30006.80000 58649.90000 137081.00000 
1.47080 11989.10000 -1461.96000 -69.56790 12078.10000 -117859.00000 28692.00000 57016.30000 134033.00000 
1.48612 11844.00000 -1417.07000 -68.74940 11928.60000 -115326.00000 27304.50000 55265.70000 130767.00000 
1.50144 11688.10000 -1369.29000 -67.89560 11768.20000 -112607.00000 25850.70000 53402.40000 127281.00000 
1.51676 11521.50000 -1318.74000 -67.00390 11596.90000 -109698.00000 24338.10000 51430.90000 123577.00000 
1.53208 11344.40000 -1265.54000 -66.07222 11415.00000 -106599.00000 22775.00000 49356.00000 119658.00000 
1.54740 11156.80000 -1209.82000 -65.10080 11222.40000 -103308.00000 21170.80000 47183.00000 115529.00000 
1.56272 10958.90000 -1151.73000 -64.09290 11019.40000 -99828.80000 19535.40000 44917.30000 111198.00000 
1.57804 10750.60000 -1091.40000 -63.05420 10806.00000 -96164.30000 17879.70000 42564.50000 106672.00000 
1.59336 10532.20000 -1028.98000 -61.99110 10582.50000 -92320.10000 16214.80000 40130.10000 101962.00000 
1.60868 10303.70000 -964.61800 -60.90980 10348.90000 -88302.00000 14552.50000 37620.10000 97078.80000 
1.62400 10065.10000 -898.45900 -59.81374 10105.30000 -84115.60000 12904.40000 35039.90000 92031.30000 
1.63932 9816.95000 -830.69900 -58.70930 9852.21000 -79768.20000 11282.70000 32397.30000 86832.30000 
1.65464 9557.92000 -761.34100 -57.58430 9588.37000 -75256.90000 9698.66000 29692.30000 81481.90000 
1.66997 9293.27000 -691.11500 -56.49030 9319.10000 -70609.80000 8166.04000 26953.50000 76019.20000 
1.68529 9004.04000 -618.13000 -55.23850 9025.40000 -65740.20000 6691.53000 24107.10000 70339.90000 
1.70061 8760.85000 -550.03800 -54.53870 8778.27000 -60955.30000 5299.42000 21451.50000 64836.70000 
1.71593 8160.75000 -445.31500 -50.28880 8173.04000 -54642.30000 3977.59000 17367.30000 57473.70000 
1.73125 7416.64000 -327.80500 -44.43340 7424.01000 -47966.90000 2831.17000 12784.40000 49722.00000 
1.74657 6704.55000 -215.93300 -38.71080 6708.14000 -41703.40000 1880.16000 8421.37000 42586.80000 
1.76189 5982.51000 -105.64200 -32.67380 5983.54000 -35742.10000 1125.68000 4120.05000 35996.40000 
1.77721 5263.35000 1.66823 -26.43290 5263.42000 -30177.20000 562.13324 -65.06102 30182.60000 
1.79253 4545.23000 106.09600 -19.95000 4546.51000 -25050.90000 180.55545 -4137.75000 25391.00000 
1.80785 3830.11000 207.42038 -13.22770 3835.74000 -20415.30000 -33.42480 -8089.40000 21959.60000 
1.82317 3118.84000 305.56500 -6.25901 3133.78000 -16316.70000 -98.24730 -11917.00000 20205.40000 
1.83849 2412.49000 400.47200 0.95910 2445.50000 -12798.90000 -36.32980 -15618.40000 20192.80000 
1.85381 1711.98000 492.12600 8.42934 1781.33000 -9901.68000 126.59400 -19192.90000 21596.90000 
1.86914 1018.27000 580.53200 16.15122 1172.24000 -7659.74000 362.01300 -22640.80000 23904.10000 
1.88446 331.92984 665.74800 24.12690 744.29800 -6102.36000 639.61100 -25964.20000 26679.30000 
1.89978 -345.14400 747.73700 32.33810 824.18500 -5251.21000 927.29000 -29161.70000 29645.30000 
1.91510 -1016.23000 826.87400 40.82990 1310.77000 -5125.54000 1194.97000 -32248.10000 32674.70000 
1.93042 -1665.51000 902.07800 49.39540 1894.76000 -5708.29000 1406.00000 -35181.00000 35668.90000 
1.94574 -2348.18000 977.57700 58.75370 2544.22000 -7102.03000 1549.67000 -38125.50000 38812.30000 
1.96106 -2653.13000 1023.61000 63.43060 2844.45000 -8295.64000 1500.81000 -39920.60000 40801.10000 
1.97638 -2866.65000 1061.72000 66.93830 3057.68000 -9492.10000 1379.44000 -41406.90000 42503.30000 
1.99170 -3092.95000 1099.48000 70.63810 3283.32000 -10894.00000 1211.39000 -42879.60000 44258.40000 
2.00702 -3305.14000 1135.04000 74.17110 3495.39000 -12414.40000 990.45200 -44266.40000 45984.90000 
2.02234 -3510.39000 1168.95000 77.63020 3700.72000 -14054.80000 717.89600 -45588.90000 47711.70000 
2.03766 -3706.80000 1201.12000 80.98560 3897.38000 -15789.90000 395.18400 -46843.80000 49435.00000 
2.05299 -3894.85000 1231.64000 84.23980 4085.82000 -17602.30000 24.90260 -48034.00000 51157.70000 
2.06831 -4074.42000 1260.53000 87.38560 4265.85000 -19472.60000 -389.35200 -49160.80000 52878.30000 
2.08363 -4245.50000 1287.84000 90.41720 4437.45000 -21382.20000 -843.15600 -50225.60000 54594.10000 
2.09895 -4408.08000 1313.58000 93.32740 4600.59000 -23312.70000 -1331.35000 -51229.70000 56300.40000 
2.11427 -4562.13000 1337.80000 96.10840 4755.20000 -25246.50000 -1848.19000 -52174.30000 57991.00000 
2.12959 -4707.61000 1360.52000 98.75210 4901.27000 -27166.80000 -2387.50000 -53060.30000 59658.40000 
2.14491 -4844.51000 1381.76000 101.25045 5038.73000 -29057.90000 -2942.83000 -53888.60000 61294.40000 
2.16023 -4972.79000 1401.54000 103.59600 5167.56000 -30905.40000 -3507.56000 -54660.00000 62890.10000 
2.17555 -5092.43000 1419.87000 105.78500 5287.72000 -32696.30000 -4075.01000 -55375.10000 64436.40000 
2.19087 -5203.38000 1436.78000 107.81200 5399.18000 -34418.50000 -4638.48000 -56034.30000 65924.10000 
2.20619 -5305.63000 1452.26000 109.67700 5501.89000 -36061.00000 -5191.27000 -56638.20000 67344.10000 
2.22151 -5399.14000 1466.34000 111.38100 5595.82000 -37613.00000 -5726.66000 -57187.10000 68687.00000 
2.23683 -5483.86000 1479.02000 112.92700 5680.93000 -39062.30000 -6237.48000 -57681.80000 69942.50000 
2.25216 -5559.87000 1490.32000 114.31900 5757.28000 -40402.70000 -6718.18000 -58122.40000 71103.70000 
2.26748 -5626.76000 1500.24000 115.55300 5824.47000 -41616.80000 -7160.56000 -58509.20000 72156.50000 
2.28280 -5685.84000 1508.86000 116.65400 5883.80000 -42706.40000 -7560.99000 -58845.50000 73101.30000 
2.29812 -5732.15000 1515.91000 117.53800 5930.38000 -43617.40000 -7904.24000 -59120.60000 73893.10000 
2.31344 -5784.08000 1522.48000 118.50300 5982.27000 -44505.00000 -8220.62000 -59376.90000 74658.50000 
2.32876 -5435.64000 1504.93000 112.93900 5641.25000 -41711.40000 -7704.89000 -58692.20000 72415.30000 
2.34408 -5062.27000 1485.23000 106.91909 5276.73000 -38547.50000 -7072.13000 -57923.90000 69936.40000 
2.35940 -4686.80000 1464.83000 100.83300 4911.41000 -35260.70000 -6384.38000 -57128.30000 67436.80000 
2.37472 -4304.45000 1443.56000 94.61750 4541.05000 -31843.70000 -5647.28000 -56298.70000 64926.50000 
2.39004 -3917.87000 1421.67000 88.32690 4168.77000 -28349.50000 -4878.97000 -55445.00000 62463.20000 
2.40536 -3527.75000 1399.30000 81.97900 3796.03000 -24805.60000 -4090.90000 -54572.80000 60085.30000 
2.42068 -3135.34000 1376.63000 75.59720 3425.08000 -21236.30000 -3292.67000 -53688.60000 57829.80000 
2.43600 -2741.74000 1353.80000 69.19900 3058.55000 -17657.20000 -2490.54000 -52798.30000 55728.30000 
