Time(s) Force[Z](Cylindrical:11)-ArfadaCaso2.iaa(N) Force[Y](Cylindrical:11)-ArfadaCaso2.iaa(N) Force[X](Cylindrical:11)-ArfadaCaso2.iaa(N) Force(Cylindrical:11)-ArfadaCaso2.iaa(N) Moment[Z](Cylindrical:11)-ArfadaCaso2.iaa(N.mm) Moment[Y](Cylindrical:11)-ArfadaCaso2.iaa(N.mm) Moment[X](Cylindrical:11)-ArfadaCaso2.iaa(N.mm) Moment(Cylindrical:11)-ArfadaCaso2.iaa(N.mm) 
0.33020 7950.55000 -947.66900 -35.03290 8006.91000 -19532.90000 2013.53000 110783.00000 112510.00000 
0.33655 7963.79000 -942.52600 -34.12790 8019.44000 -17627.70000 1463.74000 111899.00000 113288.00000 
0.34290 7977.23000 -937.48200 -33.25190 8032.20000 -15765.30000 929.20300 112933.00000 114032.00000 
0.34925 7991.04000 -932.57600 -32.40510 8045.34000 -13948.60000 410.46200 113894.00000 114745.00000 
0.35560 8005.07000 -927.81500 -31.58760 8058.72000 -12180.50000 -91.92190 114782.00000 115427.00000 
0.36195 8019.26000 -923.21300 -30.79960 8072.29000 -10463.90000 -577.30100 115602.00000 116076.00000 
0.36829 8033.53000 -918.77900 -30.04190 8085.95000 -8802.43000 -1044.96000 116357.00000 116694.00000 
0.37465 8047.78000 -914.52600 -29.31510 8099.63000 -7199.64000 -1494.10000 117050.00000 117281.00000 
0.38099 8061.93000 -910.46400 -28.62020 8113.23000 -5659.44000 -1923.89000 117685.00000 117836.00000 
0.38734 8075.88000 -906.60300 -27.95830 8126.65000 -4185.92000 -2333.43000 118263.00000 118360.00000 
0.39370 8089.52000 -902.95300 -27.33070 8139.80000 -2783.33000 -2721.79000 118789.00000 118853.00000 
0.40004 8102.76000 -899.52300 -26.73864 8152.58000 -1456.04000 -3087.98000 119264.00000 119313.00000 
0.40640 8115.50000 -896.32200 -26.18370 8164.89000 -208.50900 -3431.03000 119693.00000 119742.00000 
0.41274 8127.63000 -893.35600 -25.66720 8176.62000 954.88208 -3749.91000 120076.00000 120138.00000 
0.41909 8139.07000 -890.63800 -25.19150 8187.70000 2029.50000 -4043.69000 120417.00000 120502.00000 
0.42545 8149.60000 -888.15900 -24.75540 8197.89000 3011.78000 -4311.24000 120716.00000 120830.00000 
0.43179 8159.65000 -885.98645 -24.37040 8207.65000 3895.11000 -4552.22000 120983.00000 121131.00000 
0.43815 8167.05000 -883.88700 -24.00160 8214.78000 4683.87000 -4763.37000 121188.00000 121372.00000 
0.44449 8179.76000 -882.78100 -23.78220 8227.30000 5347.13000 -4953.37000 121457.00000 121675.00000 
0.45084 8166.91000 -879.19100 -23.23420 8214.13000 5972.41000 -5084.04000 121312.00000 121566.00000 
0.45719 8265.07000 -888.47300 -24.38630 8312.72000 6209.33000 -5325.45000 122876.00000 123148.00000 
0.46354 8499.49000 -913.44700 -27.68910 8548.47000 5976.53000 -5715.92000 126553.00000 126823.00000 
0.46989 8704.34000 -935.43400 -30.64020 8754.51000 5719.67000 -6049.57000 129767.00000 130034.00000 
0.47624 8916.29000 -958.49100 -33.74080 8967.73000 5370.71000 -6374.21000 133085.00000 133346.00000 
0.48259 9124.52000 -981.37000 -36.82270 9177.22000 4965.49000 -6677.65000 136341.00000 136594.00000 
0.48894 9336.73000 -1004.88000 -39.98320 9390.74000 4500.85000 -6972.41000 139653.00000 139899.00000 
0.49529 9534.33000 -1026.90000 -42.93420 9589.57000 4037.04000 -7237.50000 142733.00000 142974.00000 
0.50164 9785.13000 -1054.96000 -46.68180 9841.95000 3420.87000 -7564.83000 146639.00000 146874.00000 
0.50799 9785.13000 -1054.96000 -46.67690 9841.95000 3419.66000 -7563.76000 146639.00000 146874.00000 
0.51434 9534.32000 -1026.91000 -42.91970 9589.56000 4033.33000 -7234.33000 142734.00000 142974.00000 
0.52069 9336.72000 -1004.90000 -39.95940 9390.73000 4494.58000 -6967.13000 139654.00000 139900.00000 
0.52704 9124.50000 -981.38700 -36.78970 9177.20000 4956.57000 -6670.27000 136343.00000 136596.00000 
0.53339 8916.27000 -958.51300 -33.69880 8967.70000 5359.08000 -6364.73000 133089.00000 133348.00000 
0.53974 8704.30000 -935.46100 -30.58930 8754.48000 5705.27000 -6037.99000 129771.00000 130037.00000 
0.54609 8499.45000 -913.48000 -27.62930 8548.44000 5959.34000 -5702.22000 126558.00000 126826.00000 
0.55244 8265.02000 -888.51100 -24.31760 8312.68000 6189.27000 -5309.65000 122881.00000 123152.00000 
0.55879 8166.86000 -879.23400 -23.15579 8214.08000 5949.69000 -5066.07000 121318.00000 121570.00000 
0.56514 8179.71000 -882.82900 -23.69270 8227.24000 5322.02000 -4933.17000 121463.00000 121680.00000 
0.57149 8166.99000 -883.93800 -23.90080 8214.72000 4656.46000 -4740.94000 121195.00000 121377.00000 
0.57784 8159.59000 -886.04200 -24.25770 8207.59000 3865.56000 -4527.54000 120991.00000 121137.00000 
0.58419 8149.53000 -888.21800 -24.63020 8197.83000 2980.26000 -4284.32000 120724.00000 120837.00000 
0.59054 8139.00000 -890.70000 -25.05330 8187.63000 1996.20000 -4014.53000 120425.00000 120509.00000 
0.59689 8127.55000 -893.42000 -25.51520 8176.55000 920.04800 -3718.54000 120085.00000 120146.00000 
0.60324 8115.43000 -896.38800 -26.01730 8164.82000 -244.61500 -3397.47000 119702.00000 119750.00000 
0.60959 8102.69000 -899.59000 -26.55720 8152.52000 -1493.12000 -3052.29000 119273.00000 119322.00000 
0.61594 8089.45000 -903.02063 -27.13360 8139.74000 -2821.04000 -2684.03000 118798.00000 118862.00000 
0.62229 8075.80000 -906.67000 -27.74500 8126.59000 -4223.87000 -2293.69000 118272.00000 118370.00000 
0.62864 8061.86000 -910.53009 -28.39000 8113.17000 -5697.20000 -1882.28000 117693.00000 117846.00000 
0.63499 8047.72000 -914.59000 -29.06740 8099.57000 -7236.74000 -1450.76000 117058.00000 117291.00000 
0.64134 8033.47000 -918.84000 -29.77623 8085.90000 -8838.33000 -1000.05000 116365.00000 116704.00000 
0.64769 8019.21000 -923.26900 -30.51560 8072.24000 -10498.10000 -531.03200 115609.00000 116086.00000 
0.65404 8005.03000 -927.86700 -31.28470 8058.68000 -12212.20000 -44.52100 114788.00000 115436.00000 
0.66039 7991.01000 -932.62085 -32.08330 8045.31000 -13977.30000 458.72600 113899.00000 114754.00000 
0.66674 7977.22000 -937.51800 -32.91110 8032.18000 -15790.10000 978.02100 112938.00000 114040.00000 
0.67309 7963.79000 -942.55200 -33.76810 8019.44000 -17647.90000 1512.77000 111902.00000 113295.00000 
0.67944 7950.57000 -947.68400 -34.65440 8006.92000 -19547.60000 2062.38000 110785.00000 112515.00000 
0.68579 7938.45000 -953.00000 -35.57270 7995.53000 -21488.90000 2626.69000 109595.00000 111713.00000 
0.69214 7924.52000 -958.12400 -36.51170 7982.31000 -23461.50000 3204.15000 108288.00000 110846.00000 
0.69849 7919.51000 -964.34400 -37.53290 7978.10000 -25500.70000 3799.28000 107005.00000 110067.00000 
0.70484 7885.30000 -966.95900 -38.35500 7944.46000 -27447.20000 4393.64000 105228.00000 108837.00000 
0.71119 8028.13000 -991.52500 -41.17020 8089.24000 -30358.90000 5082.53000 105703.00000 110094.00000 
0.71754 8245.88000 -1025.58000 -44.49870 8309.53000 -33737.30000 5877.97000 106986.00000 112334.00000 
0.72389 8447.42000 -1057.78000 -47.44400 8513.52000 -37135.20000 6735.53000 107859.00000 114272.00000 
0.73024 8654.30000 -1090.78000 -50.25950 8722.92000 -40672.30000 7664.59000 108603.00000 116222.00000 
0.73659 8860.75000 -1123.80000 -52.85950 8931.88000 -44310.70000 8660.62000 109143.00000 118112.00000 
0.74294 9067.96000 -1156.95000 -55.26390 9141.64000 -48057.00000 9721.88000 109495.00000 119972.00000 
0.74929 9275.36000 -1190.10000 -57.46280 9351.58000 -51904.20000 10845.30000 109657.00000 121805.00000 
0.75564 9482.83000 -1223.19000 -59.45640 9561.58000 -55847.70000 12027.40000 109633.00000 123625.00000 
0.76199 9690.12000 -1256.15000 -61.24374 9771.39000 -59881.20000 13264.30000 109428.00000 125444.00000 
0.76834 9897.08000 -1288.92000 -62.82540 9980.85000 -63997.60000 14551.40000 109051.00000 127277.00000 
0.77469 10103.50000 -1321.42000 -64.20340 10189.70000 -68188.20000 15883.70000 108510.00000 129137.00000 
0.78104 10309.30000 -1353.63000 -65.38031 10398.00000 -72444.50000 17256.20000 107821.00000 131040.00000 
0.78739 10513.90000 -1385.42000 -66.36210 10605.00000 -76751.10000 18661.40000 106994.00000 132991.00000 
0.79374 10719.10000 -1417.02000 -67.15290 10812.60000 -81114.00000 20098.60000 106064.00000 135030.00000 
0.80009 10917.50000 -1447.43000 -67.75370 11013.30000 -85452.30000 21540.80000 104980.00000 137066.00000 
0.80644 11136.90000 -1480.29000 -68.25170 11235.00000 -90008.90000 23054.90000 104028.00000 139481.00000 
0.81279 11161.60000 -1487.00000 -67.26680 11260.40000 -92825.90000 24127.90000 101261.00000 139473.00000 
0.81914 11143.90000 -1487.67000 -66.12950 11243.00000 -95160.20000 25051.90000 98184.90000 139008.00000 
0.82549 11137.30000 -1489.42000 -65.09940 11236.60000 -97504.10000 25961.90000 95292.90000 138787.00000 
0.83184 11127.70000 -1490.41000 -64.08300 11227.20000 -99728.40000 26824.60000 92464.60000 138618.00000 
0.83819 11118.90000 -1491.19000 -63.11000 11218.60000 -101869.00000 27649.90000 89737.80000 138545.00000 
0.84454 11109.90000 -1491.71000 -62.16250 11209.80000 -103942.00000 28444.40000 87110.70000 138569.00000 
0.85089 11101.20000 -1491.93000 -61.24730 11201.10000 -105905.00000 29194.60000 84583.50000 138645.00000 
0.85724 11092.60000 -1491.93000 -60.36580 11192.60000 -107774.00000 29906.30000 82160.90000 138780.00000 
0.86359 11084.20000 -1491.74000 -59.51790 11184.30000 -109553.00000 30581.00000 79846.10000 138969.00000 
0.86994 11076.00000 -1491.39000 -58.70340 11176.10000 -111242.00000 31219.30000 77641.40000 139204.00000 
0.87629 11068.10000 -1490.89000 -57.92270 11168.20000 -112842.00000 31821.70000 75548.70000 139476.00000 
0.88264 11060.40000 -1490.29000 -57.17598 11160.50000 -114353.00000 32388.50000 73569.80000 139779.00000 
0.88899 11053.10000 -1489.60000 -56.46400 11153.10000 -115775.00000 32920.10000 71706.20000 140105.00000 
0.89534 11046.10000 -1488.84000 -55.78760 11146.10000 -117108.00000 33416.90000 69958.90000 140446.00000 
0.90169 11039.40000 -1488.04000 -55.14770 11139.40000 -118352.00000 33879.20000 68329.00000 140797.00000 
0.90804 11033.20000 -1487.21000 -54.54560 11133.10000 -119506.00000 34307.20000 66817.40000 141150.00000 
0.91439 11027.30000 -1486.37000 -53.98270 11127.20000 -120572.00000 34701.20000 65424.70000 141500.00000 
0.92074 11021.90000 -1485.55000 -53.46030 11121.70000 -121549.00000 35061.30000 64151.50000 141841.00000 
0.92709 11016.90000 -1484.75000 -52.98010 11116.70000 -122437.00000 35387.90000 62998.20000 142169.00000 
0.93344 11012.50000 -1483.99000 -52.54380 11112.10000 -123236.00000 35681.00000 61965.20000 142478.00000 
0.93979 11008.40000 -1483.27000 -52.15310 11108.00000 -123944.00000 35940.40000 61052.10000 142763.00000 
0.94614 11005.20000 -1482.68000 -51.81010 11104.80000 -124569.00000 36168.30000 60262.40000 143029.00000 
0.95249 11000.80000 -1481.91000 -51.51370 11100.20000 -125082.00000 36356.10000 59583.40000 143239.00000 
0.95884 11003.90000 -1482.17000 -51.27980 11103.40000 -125591.00000 36536.80000 59063.30000 143515.00000 
0.96519 10804.50000 -1455.27000 -50.36840 10902.20000 -123585.00000 35968.30000 57583.30000 141006.00000 
0.97154 10597.50000 -1427.35000 -49.51290 10693.30000 -121388.00000 35335.80000 56178.00000 138346.00000 
0.97789 10393.10000 -1399.81000 -48.71190 10487.00000 -119145.00000 34684.20000 54883.00000 135686.00000 
0.98424 10188.40000 -1372.26000 -47.94730 10280.50000 -116834.00000 34008.20000 53663.70000 132990.00000 
0.99059 9984.10000 -1344.76000 -47.20930 10074.40000 -114476.00000 33315.50000 52506.00000 130275.00000 
0.99694 9779.86000 -1317.29000 -46.48860 9868.29000 -112083.00000 32609.70000 51392.00000 127543.00000 
1.00329 9575.67000 -1289.84000 -45.77850 9662.26000 -109665.00000 31895.20000 50306.00000 124798.00000 
1.00964 9371.46000 -1262.39000 -45.07470 9456.21000 -107233.00000 31175.90000 49233.30000 122045.00000 
